raceId,driverRef,circuitRef,country,nationality_drivers,constructorRef,nationality_constructors,year,lat_x,lng_x,alt,qualifyId,quali_position,positionOrder,points,points_drivers,position_drivers,wins_drivers,points_constructors,position_constructors,wins_constructors,points_constructor_ind_races,age,fastest_lap_milliseconds,circuit_length,circuit_total_straight,circuit_mean_straight,circuit_max_straight,circuit_total_corner_length,circuit_mean_corner_length,circuit_max_corner_length,circuit_total_corner_curvature,circuit_mean_corner_curvature,circuit_max_corner_curvature,circuit_std_corner_curvature,circuit_number_of_corners,max_max_speed,max_fastest_lap_speed,var_fastest_lap_speed,min_fastest_lap_speed,max_lap_speed,var_lap_speed,bottom_lap_speed,mean_straight_speed,var_straight_speed,max_fastest_accleration,var_fastest_accleration,min_fastest_accleration,mean_top_lap_accleration,mean_var_lap_accleration,mean_min_lap_accleration,max_fastest_lap_rpm,var_fastest_lap_straight_rpm,mean_fastest_lap_straight_rpm,max_max_rpm,mean_var_straight_rpm,mean_straight_rpm,avg_gear1_time,avg_gear2_time,avg_gear3_time,avg_gear4_time,avg_gear5_time,avg_gear6_time,avg_gear7_time,avg_gear8_time,avg_gear1_time_fl,avg_gear2_time_fl,avg_gear3_time_fl,avg_gear4_time_fl,avg_gear5_time_fl,avg_gear6_time_fl,avg_gear7_time_fl,avg_gear8_time_fl,avg_lap_time_on_brake,avg_lap_distance_on_brake,avg_lap_time_on_DRS,avg_lap_distance_on_DRS,avg_lap_bottom_speed_corner,avg_lap_max_speed_corner,avg_lap_bottom_speed_tightest_corner,fl_lap_time_on_brake,fl_lap_distance_on_brake,fl_lap_time_on_DRS,fl_lap_distance_on_DRS,fl_lap_bottom_speed_corner,fl_lap_max_speed_corner,fl_lap_bottom_speed_tightest_corner,fl_tyre,fl_tyre_life,fastestlap_Sector1,fastestlap_Sector2,fastestlap_Sector3,avglap_Sector1,avglap_Sector2,avglap_Sector3,fastestlap_percentagerainfall,fastestlap_track_temperature,fastestlap_humidity,avg_lap_percentagerainfall,avg_lap_track_temperature,avg_lap_humidty,fastest_lap_milliseconds_clean
1021,vettel,hungaroring,Hungary,Germany,ferrari,Italy,2019.0,47.5789,19.2486,264.0,8182.0,5.0,3.0,15.0,156.0,4.0,0.0,288.0,2.0,0.0,27.0,32.0,75071.0,4363.0,2289.0,175.0,563.0,1845.0,153.0,260.0,0.042717785813098624,0.0035470547867538595,0.026297347425372916,0.00706599601097256,12.0,327.0,325.0,60.0,94.0,315.0,58.0,86.0,260.0,38.0,50.0,13.0,8.0,49.0,11.0,12.0,12454.0,758.0,11254.0,12618.0,808.0,10993.0,0.0,0.0,13.0,19.0,14.0,13.0,9.0,4.0,0.0,0.0,10.0,15.0,12.0,14.0,10.0,5.0,15.0,747.0,9.0,758.0,152.0,251.0,98.0,14.0,743.0,12.0,968.0,164.0,260.0,94.0,SOFT,2.0,26.918000000000003,26.793000000000003,21.36,29.046875,29.512249999999998,22.868875,0.0,39.199999999999996,48.60000000000001,0.0,43.0625,52.1625,75071.0
1025,albon,sochi,Russia,Thailand,red_bull,Austria,2019.0,43.4057,39.9578,2.0,8276.0,19.0,5.0,10.0,52.0,8.0,0.0,311.0,3.0,2.0,22.0,23.0,99197.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,327.0,327.0,70.0,89.0,309.0,64.0,82.0,194.0,51.0,48.0,8.0,20.0,45.0,11.0,12.0,12208.0,651.0,10969.0,12534.0,910.0,10839.0,0.0,16.0,28.0,18.0,11.0,14.0,10.0,8.0,0.0,6.0,15.0,10.0,15.0,13.0,14.0,16.0,17.0,808.0,9.0,814.0,130.0,240.0,112.0,15.0,775.0,19.0,1628.0,151.0,283.0,93.0,SOFT,2.0,34.46199999999999,32.22899999999999,32.50599999999999,41.35,39.491,32.68849999999999,0.0,31.300000000000008,61.399999999999984,0.0,31.300000000000008,61.09999999999998,99197.0
1025,bottas,sochi,Russia,Finland,mercedes,Germany,2019.0,43.4057,39.9578,2.0,8262.0,5.0,2.0,18.0,249.0,2.0,2.0,571.0,1.0,11.0,44.0,30.0,92632.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,326.0,324.0,61.0,100.0,318.0,61.0,95.0,258.0,39.0,44.0,6.0,25.0,45.0,8.0,22.0,12271.0,575.0,11009.0,12730.0,729.0,10973.0,0.0,1.0,10.0,20.0,13.0,13.0,17.0,13.0,0.0,0.0,5.0,19.0,10.0,14.0,19.0,16.0,14.0,715.0,18.0,1516.0,150.0,269.0,129.0,12.0,646.0,19.0,1654.0,162.0,286.0,172.0,SOFT,2.0,33.749,31.692000000000004,27.190999999999995,35.88783333333334,33.916333333333334,28.869833333333332,0.0,30.399999999999995,58.70000000000001,0.0,30.833333333333332,60.49999999999999,92632.0
1025,gasly,sochi,Russia,France,toro_rosso,Italy,2019.0,43.4057,39.9578,2.0,8268.0,11.0,14.0,0.0,69.0,6.0,0.0,55.0,6.0,0.0,0.0,23.0,93950.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,328.0,328.0,62.0,99.0,317.0,63.0,90.0,259.0,39.0,55.0,8.0,29.0,50.0,9.0,22.0,12509.0,492.0,11011.0,12509.0,651.0,10791.0,0.0,10.0,21.0,12.0,11.0,11.0,16.0,14.0,0.0,0.0,13.0,13.0,13.0,12.0,17.0,17.0,14.0,679.0,15.0,1304.0,144.0,267.0,136.0,11.0,623.0,18.0,1586.0,158.0,285.0,117.0,SOFT,2.0,34.351,32.123,27.476,38.6608,36.3854,30.367199999999997,0.0,30.699999999999996,61.2,0.0,31.080000000000002,61.04,93950.0
1025,giovinazzi,sochi,Russia,Italy,alfa,Switzerland,2019.0,43.4057,39.9578,2.0,8270.0,13.0,15.0,0.0,4.0,18.0,0.0,35.0,8.0,0.0,0.0,25.0,94037.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,333.0,330.0,64.0,99.0,318.0,61.0,94.0,256.0,43.0,55.0,8.0,25.0,53.0,8.0,25.0,12373.0,764.0,11064.0,12738.0,919.0,10780.0,0.0,0.0,13.0,22.0,16.0,16.0,14.0,13.0,0.0,0.0,7.0,16.0,12.0,15.0,17.0,15.0,13.0,667.0,16.0,1405.0,147.0,268.0,141.0,13.0,665.0,19.0,1661.0,155.0,287.0,172.0,SOFT,2.0,34.115,32.266000000000005,27.656,37.8305,34.82966666666667,29.509,0.0,30.600000000000005,60.20000000000001,0.0,30.95,60.9,94037.0
1025,grosjean,sochi,Russia,France,haas,USA,2019.0,43.4057,39.9578,2.0,8266.0,9.0,20.0,0.0,8.0,17.0,0.0,28.0,9.0,0.0,2.0,33.0,93517.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,332.0,330.0,64.0,93.0,329.0,65.0,92.0,258.0,41.0,55.0,6.0,31.0,53.0,6.0,31.0,12715.0,591.0,11333.0,12715.0,606.0,11285.0,0.0,0.0,7.0,17.0,15.0,14.0,15.0,16.0,0.0,0.0,7.0,17.0,15.0,15.0,14.0,16.0,13.0,688.0,19.0,1633.0,154.0,289.0,135.0,12.0,670.0,19.0,1637.0,155.0,289.0,115.0,SOFT,2.0,34.00900000000001,32.099,27.409,34.014833333333335,32.354000000000006,27.739666666666665,0.0,29.899999999999995,58.89999999999998,0.0,30.533333333333335,59.99999999999999,93517.0
1025,hamilton,sochi,Russia,UK,mercedes,Germany,2019.0,43.4057,39.9578,2.0,8259.0,2.0,1.0,26.0,322.0,1.0,9.0,571.0,1.0,11.0,44.0,34.0,92030.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,327.0,326.0,60.0,103.0,304.0,57.0,86.0,173.0,47.0,47.0,6.0,26.0,43.0,4.0,28.0,12546.0,684.0,11049.0,12965.0,855.0,10530.0,0.0,1.0,16.0,14.0,13.0,19.0,20.0,11.0,0.0,0.0,14.0,8.0,10.0,13.0,21.0,16.0,13.0,647.0,14.0,1179.0,148.0,259.0,139.0,12.0,665.0,20.0,1679.0,163.0,285.0,168.0,SOFT,2.0,33.80700000000001,31.518000000000008,26.704999999999988,38.28957142857143,35.30471428571429,30.17657142857143,0.0,29.9,58.89999999999999,0.0,30.542857142857144,60.285714285714285,92030.0
1025,hulkenberg,sochi,Russia,Germany,renault,France,2019.0,43.4057,39.9578,2.0,8264.0,7.0,10.0,1.0,34.0,11.0,0.0,68.0,5.0,0.0,1.0,32.0,93289.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,329.0,324.0,61.0,100.0,326.0,63.0,98.0,257.0,39.0,48.0,7.0,26.0,50.0,7.0,26.0,12140.0,490.0,11026.0,12140.0,494.0,10990.0,0.0,0.0,13.0,16.0,12.0,18.0,11.0,15.0,0.0,0.0,13.0,15.0,13.0,18.0,10.0,15.0,12.0,639.0,19.0,1657.0,159.0,288.0,150.0,12.0,651.0,19.0,1656.0,159.0,289.0,118.0,SOFT,2.0,34.122000000000014,31.984,27.183,34.150000000000006,32.175799999999995,27.4746,0.0,29.9,58.899999999999984,0.0,30.52,59.919999999999995,93289.0
1025,kevin_magnussen,sochi,Russia,Denmark,haas,USA,2019.0,43.4057,39.9578,2.0,8271.0,14.0,9.0,2.0,20.0,15.0,0.0,28.0,9.0,0.0,2.0,26.0,93889.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,328.0,328.0,64.0,97.0,318.0,61.0,89.0,259.0,39.0,52.0,8.0,26.0,52.0,9.0,24.0,12463.0,592.0,11159.0,12867.0,821.0,10734.0,0.0,1.0,18.0,22.0,13.0,16.0,13.0,13.0,0.0,0.0,7.0,17.0,10.0,17.0,16.0,16.0,15.0,770.0,15.0,1334.0,144.0,274.0,132.0,15.0,823.0,19.0,1633.0,155.0,288.0,135.0,SOFT,2.0,34.05599999999999,32.065,27.767999999999997,37.698599999999985,37.13100000000001,30.4024,0.0,30.9,60.39999999999999,0.0,31.060000000000002,60.89999999999999,93889.0
1025,kubica,sochi,Russia,Poland,williams,UK,2019.0,43.4057,39.95779999999999,2.0,8275.0,18.0,16.0,0.0,1.0,19.0,0.0,1.0,10.0,0.0,0.0,34.0,96474.0,5825.0,3595.0,264.0,1161.0,1962.0,165.0,432.0,0.02232558502103187,0.0018938688129964169,0.004740815632113166,0.0012018969038272182,12.0,326.0,325.0,64.0,93.0,310.0,64.0,72.0,201.0,56.0,43.0,6.0,26.0,46.0,7.0,21.0,12526.0,387.0,11198.0,12526.0,968.0,10444.0,0.0,11.0,23.0,30.0,10.0,13.0,11.0,10.0,0.0,0.0,14.0,21.0,10.0,17.0,10.0,15.0,21.0,932.0,17.0,1417.0,126.0,253.0,115.0,16.0,821.0,19.0,1630.0,150.0,282.0,112.0,SOFT,3.0,34.937000000000005,33.086999999999996,28.45,41.367749999999994,38.57299999999999,36.56575000000001,0.0,31.3,60.79999999999999,0.0,31.249999999999996,60.974999999999994,96474.0
